ARQUIVO,VALOR,DESCRICAO,CLASSIFICACAO,MOTIVO_ERRO
00000036-PHOTO-2025-04-22-15-50-21.jpg,,Pagamento,Pagamento,
00000017-PHOTO-2025-04-21-12-07-55.jpg,,Pagamento,Transferência,
00000204-Fatura de julho.pdf,,Pagamento,Transferência,
00000131-PHOTO-2025-05-19-15-33-38.jpg,,Pagamento,Pagamento,
00000042-PHOTO-2025-04-24-08-40-22.jpg,,Pagamento,Transferência,
00000105-PHOTO-2025-05-13-19-30-54.jpg,,,,Imagem ilegível ou em branco
00000218-PHOTO-2025-07-13-19-11-13.jpg,,Pagamento,Transferência,
00000103-PHOTO-2025-05-13-19-18-26.jpg,,Pagamento,Transferência,
00000199-PHOTO-2025-06-28-16-59-51.jpg,,Pagamento,Pagamento,
00000133-PHOTO-2025-05-19-19-17-32.jpg,,Pagamento,Pagamento,
00000136-PHOTO-2025-05-20-11-02-09.jpg,,Pagamento,Transferência,
00000042-PHOTO-2025-04-24-08-40-23.jpg,,Pagamento,Transferência,
00000134-PHOTO-2025-05-19-19-19-27.jpg,,Pagamento,Transferência,
00000213-PHOTO-2025-07-13-16-02-32.jpg,,Pagamento,Transferência,
00000220-PHOTO-2025-07-13-20-11-43.jpg,,Pagamento,Pagamento,
00000139-PHOTO-2025-05-20-19-03-44.jpg,,Pagamento,Pagamento,
00000215-PHOTO-2025-07-13-16-18-31.jpg,,Pagamento,Transferência,
00000022-PHOTO-2025-04-21-18-33-53.jpg,,,,Imagem ilegível ou em branco
00000040-PHOTO-2025-04-23-16-51-50.jpg,,Pagamento,Transferência,
00000171-PHOTO-2025-06-08-21-38-59.jpg,,Pagamento,Pagamento,
00000151-PHOTO-2025-05-28-09-50-25.jpg,,Pagamento,Transferência,
00000170-BOLETO CLAUDIA MARIA - REF JUNHO 2025.pdf,,Pagamento,Transferência,
